id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52138740,Üsküdar kısmı deniz manzaralı 3+1 Marmaray ve Üsküdar yakın 2 dakika,421967211,Mehmet,,Uskudar,41.02331,29.0169,Entire home/apt,444,25,0,,,13,356,0,
52187419,Güvenlikli yüzme havuzlu ulaşımı kolay lüx daire,422457801,Selinnur,,Kadikoy,40.99539,29.05682,Entire home/apt,750,3,14,2022-03-05,2.16,2,353,14,
52138832,1+1 HİGH FLOOR LUXURY APARTMENT WİTH POOL-ATAŞEHİR,421559957,Kaan,,Umraniye,41.03635,29.11336,Entire home/apt,1810,2,3,2022-03-27,0.47,22,362,3,
52139050,2+1 LUXURY RESIDENCE WITH POOL-ATAŞEHİR-UMRANIYE,421559957,Kaan,,Umraniye,41.03592,29.11269,Entire home/apt,1916,1,3,2022-03-09,1.02,22,365,3,
52242228,most beautiful view in Bosphorus,30522481,Ayşe,,Beykoz,41.09433,29.06746,Entire home/apt,7317,5,0,,,1,365,0,
52187856,Rooftop experience in a historic building.,422459931,Melike,,Beyoglu,41.03301,28.98194,Entire home/apt,995,2,7,2022-03-27,1.08,8,81,7,
52243602,Luxury 1+1 Residence /  2 mins away from SUBWAY,7238971,Adem,,Zeytinburnu,41.02046,28.90291,Entire home/apt,981,7,6,2022-01-13,0.92,6,365,6,
52141306,Şişli’de Özel Oda,149335781,Gülce,,Sisli,41.0621,28.98638,Private room,264,1,0,,,1,333,0,
52188484,"Balcony Flat at Galata, Beyoglu near Metro Station",418232140,Süleyman,,Beyoglu,41.025,28.97216,Entire home/apt,455,1,24,2022-03-21,4.09,5,40,24,
52142827,Being in the hotspot of Istanbul,363552110,Nuriye,,Beyoglu,41.02998,28.98119,Private room,252,2,1,2021-10-21,0.19,1,353,1,
52245468,DUMANKAYA İKON 40. KAT LÜKS DAİRE,422914554,Onur,,Atasehir,40.99201,29.08544,Private room,511,1,1,2021-10-10,0.17,1,365,1,
52188501,cosy private room 1,2781217,Fatma,,Beyoglu,41.03595,28.97796,Private room,211,1,7,2022-03-12,1.30,7,348,7,
52188644,Nişantaşı merkezde bahçeli lüks daire,78417111,Göktan,,Sisli,41.05084350064619,28.99753842132335,Entire home/apt,1040,5,0,,,1,365,0,
52188914,Neoclassical Brick House İn The Heart  Of Old Town,234260651,Zorbey,,Fatih,41.03099,28.94809,Entire home/apt,364,5,10,2022-03-12,2.33,4,318,10,
52190271,Kadıkoy merkezde rahat bir konaklama,214981188,Ersin,,Kadikoy,40.99555,29.02791,Private room,208,1,14,2022-03-28,2.18,2,120,14,
52247896,Center of the city,47498991,Sertac,,Beyoglu,41.03362,28.9819,Entire home/apt,1906,3,18,2022-03-11,2.81,10,365,18,
52248086,Desinged Central Apartment in Cihangir,47498991,Sertac,,Beyoglu,41.03388,28.98304,Entire home/apt,908,3,8,2022-02-17,1.39,10,362,8,
52144281,"1 - 1 BR New Flat, 350 m to Golden Horn Seaside",183337842,Kaan,,Beyoglu,41.05585,28.95238,Entire home/apt,294,4,1,2022-02-24,0.83,42,204,1,
52190976,A cozy home atmosphere in Bomonti,1741068,Tolga,,Sisli,41.05544,28.98232,Entire home/apt,610,2,1,2021-10-10,0.17,2,134,1,
52145102,Lovely Serviced Studio in Beyoglu / Taksim,358512002,Jumana,,Beyoglu,41.03721,28.98173,Entire home/apt,1069,1,0,,,4,0,0,
52248247,Located in Cihangir,47498991,Sertac,,Beyoglu,41.03177,28.98217,Entire home/apt,1574,3,9,2022-03-21,1.66,10,365,9,
